,Unnamed: 0,WINTERTIJD,Leveren,Terugleveren,TOTAAL
0,8640,2021-04-01 00:15:00,583,0,583
1,8641,2021-04-01 00:30:00,569,0,569
2,8642,2021-04-01 00:45:00,587,0,587
3,8643,2021-04-01 01:00:00,562,0,562
4,8644,2021-04-01 01:15:00,560,0,560
5,8645,2021-04-01 01:30:00,553,0,553
6,8646,2021-04-01 01:45:00,573,0,573
7,8647,2021-04-01 02:00:00,581,0,581
8,8648,2021-04-01 02:15:00,545,0,545
9,8649,2021-04-01 02:30:00,534,0,534
10,8650,2021-04-01 02:45:00,546,0,546
11,8651,2021-04-01 03:00:00,543,0,543
12,8652,2021-04-01 03:15:00,539,0,539
13,8653,2021-04-01 03:30:00,540,0,540
14,8654,2021-04-01 03:45:00,549,0,549
15,8655,2021-04-01 04:00:00,515,0,515
16,8656,2021-04-01 04:15:00,549,0,549
17,8657,2021-04-01 04:30:00,560,0,560
18,8658,2021-04-01 04:45:00,551,0,551
19,8659,2021-04-01 05:00:00,578,0,578
20,8660,2021-04-01 05:15:00,591,0,591
21,8661,2021-04-01 05:30:00,589,0,589
22,8662,2021-04-01 05:45:00,623,0,623
23,8663,2021-04-01 06:00:00,655,0,655
24,8664,2021-04-01 06:15:00,691,0,691
25,8665,2021-04-01 06:30:00,672,0,672
26,8666,2021-04-01 06:45:00,673,0,673
27,8667,2021-04-01 07:00:00,680,0,680
28,8668,2021-04-01 07:15:00,680,0,680
29,8669,2021-04-01 07:30:00,649,0,649
30,8670,2021-04-01 07:45:00,637,0,637
31,8671,2021-04-01 08:00:00,627,0,627
32,8672,2021-04-01 08:15:00,566,0,566
33,8673,2021-04-01 08:30:00,546,0,546
34,8674,2021-04-01 08:45:00,499,0,499
35,8675,2021-04-01 09:00:00,492,0,492
36,8676,2021-04-01 09:15:00,460,0,460
37,8677,2021-04-01 09:30:00,442,0,442
38,8678,2021-04-01 09:45:00,422,0,422
39,8679,2021-04-01 10:00:00,374,0,374
40,8680,2021-04-01 10:15:00,338,0,338
41,8681,2021-04-01 10:30:00,289,0,289
42,8682,2021-04-01 10:45:00,239,0,239
43,8683,2021-04-01 11:00:00,213,0,213
44,8684,2021-04-01 11:15:00,176,0,176
45,8685,2021-04-01 11:30:00,148,0,148
46,8686,2021-04-01 11:45:00,109,0,109
47,8687,2021-04-01 12:00:00,106,0,106
48,8688,2021-04-01 12:15:00,104,0,104
49,8689,2021-04-01 12:30:00,73,0,73
50,8690,2021-04-01 12:45:00,80,0,80
51,8691,2021-04-01 13:00:00,43,0,43
52,8692,2021-04-01 13:15:00,41,-6,35
53,8693,2021-04-01 13:30:00,74,-2,72
54,8694,2021-04-01 13:45:00,85,0,85
55,8695,2021-04-01 14:00:00,113,0,113
56,8696,2021-04-01 14:15:00,38,-4,34
57,8697,2021-04-01 14:30:00,94,-2,92
58,8698,2021-04-01 14:45:00,138,0,138
59,8699,2021-04-01 15:00:00,143,0,143
60,8700,2021-04-01 15:15:00,141,0,141
61,8701,2021-04-01 15:30:00,160,0,160
62,8702,2021-04-01 15:45:00,147,0,147
63,8703,2021-04-01 16:00:00,163,0,163
64,8704,2021-04-01 16:15:00,197,0,197
65,8705,2021-04-01 16:30:00,193,0,193
66,8706,2021-04-01 16:45:00,233,0,233
67,8707,2021-04-01 17:00:00,253,0,253
68,8708,2021-04-01 17:15:00,280,0,280
69,8709,2021-04-01 17:30:00,297,0,297
70,8710,2021-04-01 17:45:00,327,0,327
71,8711,2021-04-01 18:00:00,415,0,415
72,8712,2021-04-01 18:15:00,453,0,453
73,8713,2021-04-01 18:30:00,477,0,477
74,8714,2021-04-01 18:45:00,527,0,527
75,8715,2021-04-01 19:00:00,575,0,575
76,8716,2021-04-01 19:15:00,580,0,580
77,8717,2021-04-01 19:30:00,586,0,586
78,8718,2021-04-01 19:45:00,572,0,572
79,8719,2021-04-01 20:00:00,569,0,569
80,8720,2021-04-01 20:15:00,593,0,593
81,8721,2021-04-01 20:30:00,579,0,579
82,8722,2021-04-01 20:45:00,571,0,571
83,8723,2021-04-01 21:00:00,563,0,563
84,8724,2021-04-01 21:15:00,581,0,581
85,8725,2021-04-01 21:30:00,553,0,553
86,8726,2021-04-01 21:45:00,571,0,571
87,8727,2021-04-01 22:00:00,536,0,536
88,8728,2021-04-01 22:15:00,543,0,543
89,8729,2021-04-01 22:30:00,564,0,564
90,8730,2021-04-01 22:45:00,522,0,522
91,8731,2021-04-01 23:00:00,548,0,548
92,8732,2021-04-01 23:15:00,545,0,545
93,8733,2021-04-01 23:30:00,533,0,533
94,8734,2021-04-01 23:45:00,533,0,533
95,8735,2021-04-02 00:00:00,540,0,540
96,8736,2021-04-02 00:15:00,534,0,534
97,8737,2021-04-02 00:30:00,537,0,537
98,8738,2021-04-02 00:45:00,521,0,521
99,8739,2021-04-02 01:00:00,533,0,533
100,8740,2021-04-02 01:15:00,530,0,530
101,8741,2021-04-02 01:30:00,518,0,518
102,8742,2021-04-02 01:45:00,546,0,546
103,8743,2021-04-02 02:00:00,530,0,530
104,8744,2021-04-02 02:15:00,512,0,512
105,8745,2021-04-02 02:30:00,501,0,501
106,8746,2021-04-02 02:45:00,517,0,517
107,8747,2021-04-02 03:00:00,515,0,515
108,8748,2021-04-02 03:15:00,499,0,499
109,8749,2021-04-02 03:30:00,520,0,520
110,8750,2021-04-02 03:45:00,510,0,510
111,8751,2021-04-02 04:00:00,503,0,503
112,8752,2021-04-02 04:15:00,528,0,528
113,8753,2021-04-02 04:30:00,514,0,514
114,8754,2021-04-02 04:45:00,535,0,535
115,8755,2021-04-02 05:00:00,538,0,538
116,8756,2021-04-02 05:15:00,590,0,590
117,8757,2021-04-02 05:30:00,587,0,587
118,8758,2021-04-02 05:45:00,615,0,615
119,8759,2021-04-02 06:00:00,630,0,630
120,8760,2021-04-02 06:15:00,658,0,658
121,8761,2021-04-02 06:30:00,685,0,685
122,8762,2021-04-02 06:45:00,719,0,719
123,8763,2021-04-02 07:00:00,683,0,683
124,8764,2021-04-02 07:15:00,661,0,661
125,8765,2021-04-02 07:30:00,682,0,682
126,8766,2021-04-02 07:45:00,651,0,651
