,Unnamed: 0,WINTERTIJD,Leveren,Terugleveren,TOTAAL
0,17375,2021-07-01 00:00:00,609,0,609
1,17376,2021-07-01 00:15:00,594,0,594
2,17377,2021-07-01 00:30:00,578,0,578
3,17378,2021-07-01 00:45:00,605,0,605
4,17379,2021-07-01 01:00:00,589,0,589
5,17380,2021-07-01 01:15:00,576,0,576
6,17381,2021-07-01 01:30:00,604,0,604
7,17382,2021-07-01 01:45:00,601,0,601
8,17383,2021-07-01 02:00:00,575,0,575
9,17384,2021-07-01 02:15:00,577,0,577
10,17385,2021-07-01 02:30:00,584,0,584
11,17386,2021-07-01 02:45:00,567,0,567
12,17387,2021-07-01 03:00:00,576,0,576
13,17388,2021-07-01 03:15:00,566,0,566
14,17389,2021-07-01 03:30:00,577,0,577
15,17390,2021-07-01 03:45:00,563,0,563
16,17391,2021-07-01 04:00:00,585,0,585
17,17392,2021-07-01 04:15:00,571,0,571
18,17393,2021-07-01 04:30:00,566,0,566
19,17394,2021-07-01 04:45:00,567,0,567
20,17395,2021-07-01 05:00:00,567,0,567
21,17396,2021-07-01 05:15:00,600,0,600
22,17397,2021-07-01 05:30:00,578,0,578
23,17398,2021-07-01 05:45:00,608,0,608
24,17399,2021-07-01 06:00:00,612,0,612
25,17400,2021-07-01 06:15:00,619,0,619
26,17401,2021-07-01 06:30:00,644,0,644
27,17402,2021-07-01 06:45:00,646,0,646
28,17403,2021-07-01 07:00:00,721,0,721
29,17404,2021-07-01 07:15:00,698,0,698
30,17405,2021-07-01 07:30:00,729,0,729
31,17406,2021-07-01 07:45:00,753,0,753
32,17407,2021-07-01 08:00:00,738,0,738
33,17408,2021-07-01 08:15:00,735,0,735
34,17409,2021-07-01 08:30:00,677,0,677
35,17410,2021-07-01 08:45:00,707,0,707
36,17411,2021-07-01 09:00:00,661,0,661
37,17412,2021-07-01 09:15:00,609,0,609
38,17413,2021-07-01 09:30:00,599,0,599
39,17414,2021-07-01 09:45:00,699,0,699
40,17415,2021-07-01 10:00:00,730,0,730
41,17416,2021-07-01 10:15:00,684,0,684
42,17417,2021-07-01 10:30:00,581,0,581
43,17418,2021-07-01 10:45:00,626,0,626
44,17419,2021-07-01 11:00:00,611,0,611
45,17420,2021-07-01 11:15:00,570,0,570
46,17421,2021-07-01 11:30:00,599,0,599
47,17422,2021-07-01 11:45:00,550,0,550
48,17423,2021-07-01 12:00:00,546,0,546
49,17424,2021-07-01 12:15:00,550,0,550
50,17425,2021-07-01 12:30:00,560,0,560
51,17426,2021-07-01 12:45:00,574,0,574
52,17427,2021-07-01 13:00:00,562,0,562
53,17428,2021-07-01 13:15:00,538,0,538
54,17429,2021-07-01 13:30:00,573,0,573
55,17430,2021-07-01 13:45:00,626,0,626
56,17431,2021-07-01 14:00:00,538,0,538
57,17432,2021-07-01 14:15:00,463,0,463
58,17433,2021-07-01 14:30:00,471,0,471
59,17434,2021-07-01 14:45:00,450,0,450
60,17435,2021-07-01 15:00:00,566,0,566
61,17436,2021-07-01 15:15:00,574,0,574
62,17437,2021-07-01 15:30:00,510,0,510
63,17438,2021-07-01 15:45:00,543,0,543
64,17439,2021-07-01 16:00:00,594,0,594
65,17440,2021-07-01 16:15:00,591,0,591
66,17441,2021-07-01 16:30:00,634,0,634
67,17442,2021-07-01 16:45:00,624,0,624
68,17443,2021-07-01 17:00:00,593,0,593
